model_id,prompt,variable,mean,std
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,HDD,6.04122703350024,6.512924129238941
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,CDD,0.6483414682989339,1.776427111513111
