model_id,prompt,variable,coefficient,std_error,t_stat,p_value,ci_low,ci_high,year
model_5,TABLE 5 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,weekend,-3490.048332308208,88.87321044312,-39.269970274584416,0.0,-3664.2366239671724,-3315.8600406492437,2023
model_5,TABLE 5 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,PMI,446.84513089818256,99.98353841541237,4.469187007981524,7.8517461438584e-06,250.88099655709738,642.8092652392677,2023
model_5,TABLE 5 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,IR,1033.8544874679847,99.19265175711517,10.422692297807487,1.9534375897671272e-25,839.4404624930153,1228.268512442954,2023
model_6,TABLE 6 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR + CUR,const,40111.66487337877,52.14734028678713,769.1986715483953,0.0,40009.457964527115,40213.87178223043,2023
model_6,TABLE 6 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR + CUR,HDD,511.3760179304477,47.419832254195626,10.78401153317454,4.096233067397283e-27,418.43485455929346,604.317181301602,2023
model_6,TABLE 6 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR + CUR,CDD,3093.1203852791655,48.1064943213676,64.29735587499016,0.0,2998.8333889868045,3187.4073815715265,2023
model_6,TABLE 6 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR + CUR,night,-7138.165722168644,76.38802981610513,-93.44612944400984,0.0,-7287.883509458182,-6988.447934879106,2023
model_6,TABLE 6 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR + CUR,weekend,-3498.905194705365,88.61123804782422,-39.486020868109044,0.0,-3672.580029904606,-3325.230359506124,2023
model_6,TABLE 6 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR + CUR,PMI,639.4380197404148,102.91151211487728,6.213474144920034,5.182576316513441e-10,437.73516240069785,841.1408770801318,2023
model_6,TABLE 6 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR + CUR,IR,836.9848088703875,101.29340437785916,8.26297441586766,1.4208670183613276e-16,638.4533844183317,1035.5162333224432,2023
model_6,TABLE 6 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR + CUR,CUR,536.842651945531,56.1702017262101,9.557427878971454,1.2071957984753354e-21,426.7510795578096,646.9342243332524,2023
model_7,TABLE 7 - log_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,const,10.591817126879079,0.0014064842219711161,7530.704547851369,0.0,10.589060468459191,10.594573785298966,2023
model_7,TABLE 7 - log_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,HDD,0.010521507080646586,0.0012742974979129587,8.256711715967963,1.4974050407972557e-16,0.008023929879147683,0.01301908428214549,2023
model_7,TABLE 7 - log_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,CDD,0.07550991472920962,0.001188141464451422,63.552966535069444,0.0,0.07318120025034616,0.07783862920807308,2023
model_7,TABLE 7 - log_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,night,-0.19958339936451602,0.0022568094336321183,-88.43608874999502,0.0,-0.20400666457440522,-0.19516013415462682,2023
model_7,TABLE 7 - log_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,weekend,-0.09470634609057782,0.0025717145266966708,-36.82615045621985,7.045283125234242e-297,-0.09974681394142176,-0.08966587823973388,2023
model_7,TABLE 7 - log_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,PMI,0.011902223199842465,0.002963938933935246,4.0156776050847265,5.927524010525015e-05,0.006093009636953341,0.01771143676273159,2023
model_7,TABLE 7 - log_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,IR,0.028644322163608127,0.00288762823366645,9.919671039937903,3.4188107462338653e-23,0.022984674824880872,0.03430396950233538,2023
model_8,TABLE 8 - sqrt_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,const,199.89963175713706,0.13506899900046326,1479.9815889392312,0.0,199.63490138366828,200.16436213060584,2023
model_8,TABLE 8 - sqrt_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,HDD,0.9732002788117491,0.11886668914137684,8.187325531160802,2.670950152271862e-16,0.7402258491331322,1.206174708490366,2023
model_8,TABLE 8 - sqrt_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,CDD,7.493301926351646,0.11725145697989761,63.9079642962249,0.0,7.263493293536199,7.723110559167092,2023
model_8,TABLE 8 - sqrt_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,night,-18.840787759417413,0.20640890398099657,-91.2789487082981,0.0,-19.245341777308553,-18.436233741526273,2023
model_8,TABLE 8 - sqrt_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,weekend,-9.067948239913488,0.23773545769908827,-38.14301967269506,0.0,-9.533901174851847,-8.601995304975128,2023
model_8,TABLE 8 - sqrt_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,PMI,1.153047048753903,0.27091696284840916,4.2560902670353915,2.080327439451521e-05,0.6220595587700453,1.6840345387377609,2023
model_8,TABLE 8 - sqrt_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,IR,2.715230943847729,0.26642540476428667,10.191336469020147,2.16763513624315e-24,2.193046745943221,3.237415141752237,2023
