model_id,prompt,variable,coefficient,std_error,t_stat,p_value,ci_low,ci_high
model_3,TABLE 3 - consumption ~ HDD + CDD + night dummy + weekend dummy,const,40107.761012946445,53.67270693798134,747.2654781375355,0.0,40002.564440395225,40212.957585497665
model_3,TABLE 3 - consumption ~ HDD + CDD + night dummy + weekend dummy,HDD,165.19352781577754,39.3184438080335,4.201425891174904,2.6523907617257477e-05,88.13079402386998,242.2562616076851
model_3,TABLE 3 - consumption ~ HDD + CDD + night dummy + weekend dummy,CDD,2950.038930782182,46.09134421222583,64.00418519361989,0.0,2859.7015561271805,3040.3763054371834
model_3,TABLE 3 - consumption ~ HDD + CDD + night dummy + weekend dummy,night,-7145.2251877359195,77.34565148013155,-92.38043834398854,0.0,-7296.819878997764,-6993.630496474075
model_3,TABLE 3 - consumption ~ HDD + CDD + night dummy + weekend dummy,weekend,-3478.177118549873,89.8343130680562,-38.717690376447734,0.0,-3654.249136739159,-3302.1051003605867
