model_id,prompt,variable,coefficient,std_error,t_stat,p_value,ci_low,ci_high,year
model_1,TABLE 1 - consumption ~ HDD + CDD,const,39012.667674180324,61.72505647733542,632.0394002151336,0.0,38891.688786541046,39133.6465618196,2024
model_1,TABLE 1 - consumption ~ HDD + CDD,HDD,784.1742932292691,67.16829653137862,11.674768212454682,1.7153263700065787e-31,652.5268511248604,915.8217353336778,2024
model_1,TABLE 1 - consumption ~ HDD + CDD,CDD,3230.4038620650886,78.4518499433128,41.176898497604476,0.0,3076.641061655655,3384.166662474522,2024
model_2,TABLE 2 - consumption ~ HDD + CDD + night dummy,const,41340.59342703837,62.641420552206434,659.9561929248462,0.0,41217.81849881562,41463.368355261126,2024
model_2,TABLE 2 - consumption ~ HDD + CDD + night dummy,HDD,750.279915730141,49.957618584986555,15.01832827467116,5.569467588669478e-51,652.3647825501786,848.1950489101035,2024
model_2,TABLE 2 - consumption ~ HDD + CDD + night dummy,CDD,3158.947236894842,62.40327271987417,50.62149946967095,0.0,3036.6390698464575,3281.255403943226,2024
model_2,TABLE 2 - consumption ~ HDD + CDD + night dummy,night,-7981.459724084654,88.92859110034016,-89.75133447328533,0.0,-8155.75655983721,-7807.162888332098,2024
model_3,TABLE 3 - consumption ~ HDD + CDD + night dummy + weekend dummy,const,42274.421735341486,64.19837727532652,658.4967335551157,0.0,42148.59522801593,42400.24824266704,2024
model_3,TABLE 3 - consumption ~ HDD + CDD + night dummy + weekend dummy,HDD,719.2805994027526,46.118661013475254,15.596302745922925,7.71337273127608e-55,628.8896848011296,809.6715140043756,2024
model_3,TABLE 3 - consumption ~ HDD + CDD + night dummy + weekend dummy,CDD,3036.5928664817775,60.12685420925306,50.5031055826378,0.0,2918.746397727951,3154.439335235604,2024
model_3,TABLE 3 - consumption ~ HDD + CDD + night dummy + weekend dummy,night,-7985.623019189504,89.52626875832914,-89.19865789052619,0.0,-8161.0912816260825,-7810.154756752925,2024
model_3,TABLE 3 - consumption ~ HDD + CDD + night dummy + weekend dummy,weekend,-3282.0839335240375,101.06061235490193,-32.47639072280805,2.2977460565036183e-231,-3480.159093995209,-3084.008773052866,2024
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,const,43302.28008890969,175.70582275636872,246.44761004279317,0.0,42957.90300443323,43646.65717338615,2024
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,HDD,641.4455124170026,95.24045202484274,6.7350112140342056,1.6391729220130352e-11,454.77765657699604,828.1133682570093,2024
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,CDD,642.2692010447919,89.17872325005382,7.2020452596511495,5.931599524010273e-13,467.4821152874216,817.0562868021622,2024
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,night,-8066.772462006029,78.81250603054562,-102.3539647233088,0.0,-8221.242135357244,-7912.302788654813,2024
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,weekend,-3697.640142851984,90.88093989655124,-40.68664064281209,0.0,-3875.7635119303736,-3519.516773773594,2024
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_1,-1719.489525326042,295.658567263079,-5.815794689270845,6.034649808206827e-09,-2298.9696688823897,-1140.009381769694,2024
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_2,-2200.384812892741,256.2550542392025,-8.58669819967251,8.950434384823836e-18,-2702.6354900579363,-1698.1341357275462,2024
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_3,-2861.126759349295,242.2735277466124,-11.809489819051437,3.4867051204104223e-32,-3335.9741481401206,-2386.279370558469,2024
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_4,-5854.1313905696,233.50933794110438,-25.070223924176112,1.050873856872108e-138,-6311.801282987956,-5396.461498151243,2024
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_5,-2888.809391916208,179.23807990530548,-16.117163235861568,1.932801708687857e-58,-3240.109573188719,-2537.509210643697,2024
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_6,-90.56483496512833,258.1515121628197,-0.35082047053053034,0.725723038826785,-596.5325013588086,415.40283142855196,2024
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_7,5319.0917287840675,260.6108969447191,20.41008949028081,1.3603540989326501e-92,4808.303756793738,5829.879700774397,2024
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_8,5134.851480780484,257.91891216590193,19.90878232875602,3.4151510517404657e-88,4629.339702003566,5640.363259557402,2024
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_10,-3451.2491211533747,183.5372580428844,-18.804079116987644,6.992604350301932e-79,-3810.9755367386624,-3091.522705568087,2024
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_11,-1834.9698359826762,237.06337050002668,-7.740419079135929,9.908965302303082e-15,-2299.6055042164035,-1370.3341677489489,2024
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_12,-407.9286439415009,280.86651145817393,-1.4523933160406304,0.1463922737406591,-958.4168908629282,142.55960297992635,2024
model_5,TABLE 5 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,const,42273.382974398985,63.93224148936308,661.2216620221636,0.0,42148.07808362891,42398.68786516906,2024
model_5,TABLE 5 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,HDD,592.0174369026918,62.12672164060902,9.529191646831089,1.585126692530946e-21,470.2513000095529,713.7835737958306,2024
model_5,TABLE 5 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,CDD,2988.558921776435,59.80767870393341,49.96948529921601,0.0,2871.338025517782,3105.779818035088,2024
model_5,TABLE 5 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,night,-7987.327335793896,89.52106215010673,-89.2228839108381,0.0,-8162.785393465877,-7811.869278121915,2024
model_5,TABLE 5 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,weekend,-3276.678911385022,100.8988563888864,-32.4748865215675,2.4128890206852678e-231,-3474.4370359885183,-3078.9207867815253,2024
model_5,TABLE 5 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,PMI,-268.88386165389204,65.70906890166303,-4.092035789706447,4.276026353623188e-05,-397.6712701588125,-140.09645314897162,2024
model_5,TABLE 5 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,IR,-383.83909100981464,48.69725081103828,-7.882151140302344,3.217924515664415e-15,-479.28394874556363,-288.39423327406564,2024
