model_id,prompt,variable,coefficient,std_error,t_stat,p_value,ci_low,ci_high
model_7,TABLE 7 - log_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,const,10.642736489770218,0.001645425547143725,6468.0753913447015,0.0,10.639511514958574,10.645961464581863
model_7,TABLE 7 - log_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,HDD,0.016820632689362958,0.0016453646687908568,10.22304234946535,1.5635510801369025e-24,0.013595777197098204,0.020045488181627713
model_7,TABLE 7 - log_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,CDD,0.07227638262758411,0.0014301562689187414,50.53740223942668,0.0,0.0694733278482392,0.07507943740692902
model_7,TABLE 7 - log_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,night,-0.21133059576665447,0.0025098413577970833,-84.2007783121965,0.0,-0.21624979443484588,-0.20641139709846307
model_7,TABLE 7 - log_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,weekend,-0.08286418025494888,0.0027512600567773716,-30.118628753695507,2.763505332635998e-199,-0.08825655087833614,-0.07747180963156161
model_7,TABLE 7 - log_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,PMI,-0.008632529976086573,0.001739443503196964,-4.9628113590471,6.948005754233156e-07,-0.012041776595494803,-0.005223283356678341
model_7,TABLE 7 - log_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,IR,-0.010497618822203791,0.0013269261811243436,-7.911230459940771,2.5485723479469768e-15,-0.013098346347350777,-0.007896891297056806
