model_id,prompt,variable,mean,std
model_1,TABLE 1 - consumption ~ HDD + CDD,HDD,6.04122703350024,6.512924129238941
model_1,TABLE 1 - consumption ~ HDD + CDD,CDD,0.6483414682989339,1.776427111513111
