model_id,prompt,variable,coefficient,std_error,t_stat,p_value,ci_low,ci_high
model_1,TABLE 1 - consumption ~ HDD + CDD,const,39012.667674180324,61.72505647733542,632.0394002151336,0.0,38891.688786541046,39133.6465618196
model_1,TABLE 1 - consumption ~ HDD + CDD,HDD,784.1742932292691,67.16829653137862,11.674768212454682,1.7153263700065787e-31,652.5268511248604,915.8217353336778
model_1,TABLE 1 - consumption ~ HDD + CDD,CDD,3230.4038620650886,78.4518499433128,41.176898497604476,0.0,3076.641061655655,3384.166662474522
