model_id,prompt,variable,coefficient,std_error,t_stat,p_value,ci_low,ci_high
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,const,43302.28008890969,175.70582275636872,246.44761004279317,0.0,42957.90300443323,43646.65717338615
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,HDD,641.4455124170026,95.24045202484274,6.7350112140342056,1.6391729220130352e-11,454.77765657699604,828.1133682570093
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,CDD,642.2692010447919,89.17872325005382,7.2020452596511495,5.931599524010273e-13,467.4821152874216,817.0562868021622
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,night,-8066.772462006029,78.81250603054562,-102.3539647233088,0.0,-8221.242135357244,-7912.302788654813
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,weekend,-3697.640142851984,90.88093989655124,-40.68664064281209,0.0,-3875.7635119303736,-3519.516773773594
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_1,-1719.489525326042,295.658567263079,-5.815794689270845,6.034649808206827e-09,-2298.9696688823897,-1140.009381769694
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_2,-2200.384812892741,256.2550542392025,-8.58669819967251,8.950434384823836e-18,-2702.6354900579363,-1698.1341357275462
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_3,-2861.126759349295,242.2735277466124,-11.809489819051437,3.4867051204104223e-32,-3335.9741481401206,-2386.279370558469
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_4,-5854.1313905696,233.50933794110438,-25.070223924176112,1.050873856872108e-138,-6311.801282987956,-5396.461498151243
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_5,-2888.809391916208,179.23807990530548,-16.117163235861568,1.932801708687857e-58,-3240.109573188719,-2537.509210643697
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_6,-90.56483496512833,258.1515121628197,-0.35082047053053034,0.725723038826785,-596.5325013588086,415.40283142855196
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_7,5319.0917287840675,260.6108969447191,20.41008949028081,1.3603540989326501e-92,4808.303756793738,5829.879700774397
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_8,5134.851480780484,257.91891216590193,19.90878232875602,3.4151510517404657e-88,4629.339702003566,5640.363259557402
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_10,-3451.2491211533747,183.5372580428844,-18.804079116987644,6.992604350301932e-79,-3810.9755367386624,-3091.522705568087
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_11,-1834.9698359826762,237.06337050002668,-7.740419079135929,9.908965302303082e-15,-2299.6055042164035,-1370.3341677489489
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_12,-407.9286439415009,280.86651145817393,-1.4523933160406304,0.1463922737406591,-958.4168908629282,142.55960297992635
