model_id,prompt,variable,coefficient,std_error,t_stat,p_value,ci_low,ci_high
model_6,TABLE 6 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR + CUR,const,42269.05057630435,61.82832687372197,683.6518585184192,0.0,42147.86928240748,42390.23187020121
model_6,TABLE 6 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR + CUR,HDD,134.19142785794156,66.37115207403349,2.021833638027831,0.04319354139608307,4.106360180405005,264.27649553547815
model_6,TABLE 6 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR + CUR,CDD,2813.2175641150548,59.298929609405675,47.44128743377583,0.0,2696.993797758844,2929.4413304712657
model_6,TABLE 6 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR + CUR,night,-7993.54462376268,88.59396460327052,-90.22674015728145,0.0,-8167.185603632707,-7819.903643892653
model_6,TABLE 6 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR + CUR,weekend,-3255.050515295453,99.26239814576634,-32.79238237338803,7.560941375199652e-236,-3449.60124068023,-3060.4997899106756
model_6,TABLE 6 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR + CUR,PMI,445.6487714241,79.42914336728097,5.610645570775158,2.015732282934362e-08,289.9705111013608,601.3270317468392
model_6,TABLE 6 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR + CUR,IR,-601.2771529054999,50.89522295897194,-11.814019429489603,3.303810100711725e-32,-701.029956890221,-501.5243489207788
model_6,TABLE 6 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR + CUR,CUR,-1172.140205280577,56.53653409733676,-20.732438307281953,1.766112416996073e-95,-1282.9497759220778,-1061.3306346390762
