model_id,prompt,variable,coefficient,std_error,t_stat,p_value,ci_low,ci_high
model_9,TABLE 9 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI_c + IR_c + PMI_IR,const,42271.18137168867,63.75075751527956,663.0694758655575,0.0,42146.23218297157,42396.13056040576
model_9,TABLE 9 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI_c + IR_c + PMI_IR,HDD,470.559423296123,65.77084835758114,7.154528716701333,8.396086976596873e-13,341.65092928261856,599.4679173096274
model_9,TABLE 9 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI_c + IR_c + PMI_IR,CDD,2976.8616089345496,59.77353531004609,49.802334653513974,0.0,2859.707632498226,3094.0155853708734
model_9,TABLE 9 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI_c + IR_c + PMI_IR,night,-7987.797307944424,89.54162763554648,-89.20764027717323,0.0,-8163.295673227191,-7812.298942661656
model_9,TABLE 9 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI_c + IR_c + PMI_IR,weekend,-3268.448564086773,100.65632251819781,-32.47136873588706,2.705174502580917e-231,-3465.7313310386885,-3071.1657971348573
model_9,TABLE 9 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI_c + IR_c + PMI_IR,PMI_c,-10667.827264443855,1386.535201885568,-7.693874089843901,1.4274553173577242e-14,-13385.386323436542,-7950.268205451168
model_9,TABLE 9 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI_c + IR_c + PMI_IR,IR_c,-938.7116221825563,94.6970205039847,-9.912789411817416,3.6627458340178324e-23,-1124.3143718136173,-753.1088725514953
model_9,TABLE 9 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI_c + IR_c + PMI_IR,PMI_IR,10217.647207912014,1370.9327381246449,7.45306237408055,9.119813958074832e-14,7530.6684159608285,12904.6259998632
