model_id,prompt,variable,coefficient,std_error,t_stat,p_value,ci_low,ci_high
model_3,TABLE 3 - consumption ~ HDD + CDD + night dummy + weekend dummy,const,39990.293727954006,54.331899286929705,736.0371025640591,0.0,39883.805162139965,40096.78229376805
model_3,TABLE 3 - consumption ~ HDD + CDD + night dummy + weekend dummy,HDD,337.79135241237555,41.65433502432197,8.109392508970293,5.087346168850155e-16,256.1503559647391,419.432348860012
model_3,TABLE 3 - consumption ~ HDD + CDD + night dummy + weekend dummy,CDD,1723.3444956072874,43.17450601623519,39.91578953930004,0.0,1638.7240187651585,1807.9649724494163
model_3,TABLE 3 - consumption ~ HDD + CDD + night dummy + weekend dummy,night,-6781.493176230397,88.61222394673172,-76.52999636152929,0.0,-6955.169943755988,-6607.816408704805
model_3,TABLE 3 - consumption ~ HDD + CDD + night dummy + weekend dummy,weekend,-3642.40543317794,92.46779273859435,-39.39107147799005,0.0,-3823.638976675499,-3461.1718896803804
