model_id,prompt,variable,coefficient,std_error,t_stat,p_value,ci_low,ci_high
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,const,43579.39087537396,139.52471736618466,312.3417248070764,0.0,43305.927454383105,43852.854296364814
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,HDD,963.1735970707598,85.79836812615954,11.226013012910585,3.0388377565058795e-29,795.0118856111778,1131.3353085303418
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,CDD,1441.484333960799,79.29650181481074,18.178410156443537,7.652018054240847e-74,1286.0660463037548,1596.9026216178431
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,night,-7235.334868928707,69.23493856908114,-104.50409891978809,0.0,-7371.032854995949,-7099.636882861465
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,weekend,-3529.0448001922286,81.65977617315282,-43.21643978926883,0.0,-3689.0950204772103,-3368.994579907247
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_1,-4566.171937517882,249.89967105417418,-18.272020600331285,1.3823612050267987e-74,-5055.96629253247,-4076.377582503294
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_2,-5612.992312677094,269.27978449037835,-20.84446228780182,1.711203253509716e-96,-6140.770992042942,-5085.213633311245
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_3,-5371.6044409001515,194.12802318379974,-27.670422604645466,1.5851749903953222e-168,-5752.088374730356,-4991.120507069947
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_4,-6867.881472753535,208.68546775415868,-32.91020475294534,1.570483120439661e-237,-7276.897473648581,-6458.8654718584885
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_5,-4420.439064674207,152.12070787501085,-29.05875949713721,1.1926746076338599e-185,-4718.590173411967,-4122.287955936446
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_6,-4645.191498407349,184.255887287926,-25.210545870637922,3.0693950172953443e-140,-5006.326401431155,-4284.056595383543
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_7,1041.6705649601781,231.58129222712245,4.498077348746132,6.857075183436376e-06,587.7795727017726,1495.5615572185836
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_8,1338.1128219679968,270.3576011070415,4.949418165011028,7.443566680559377e-07,808.2216608515491,1868.0039830844444
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_10,-4623.746268816247,144.88692025974532,-31.912792821650484,1.7745113329782014e-223,-4907.719414356275,-4339.773123276219
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_11,-4448.459721424149,171.30181199919488,-25.968550300244676,1.1225876729134527e-148,-4784.2051034290225,-4112.714339419276
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_12,-3275.276552572039,218.8094193595355,-14.96862686331746,1.1772690395470548e-50,-3704.1351339948496,-2846.417971149228
