model_id,prompt,variable,coefficient,std_error,t_stat,p_value,ci_low,ci_high
model_10,TABLE 10 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI_c + IR_c + CUR_c + PMI_IR + CUR_IR,const,40115.46424952908,50.174433883845694,799.5200173537937,0.0,40017.124166172056,40213.80433288611
model_10,TABLE 10 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI_c + IR_c + CUR_c + PMI_IR + CUR_IR,HDD,1019.2016421648714,49.138229464899865,20.74152148467013,1.4622657043092313e-95,922.8924821496028,1115.51080218014
model_10,TABLE 10 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI_c + IR_c + CUR_c + PMI_IR + CUR_IR,CDD,2933.4856300231545,58.1010010488933,50.48941631065117,0.0,2819.6097605016,3047.361499544709
model_10,TABLE 10 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI_c + IR_c + CUR_c + PMI_IR + CUR_IR,night,-7149.193583128374,73.72554819090857,-96.97036859754368,0.0,-7293.693002323026,-7004.694163933721
model_10,TABLE 10 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI_c + IR_c + CUR_c + PMI_IR + CUR_IR,weekend,-3500.931524199096,85.4085161748505,-40.99042672784409,0.0,-3668.3291398748097,-3333.5339085233827
model_10,TABLE 10 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI_c + IR_c + CUR_c + PMI_IR + CUR_IR,PMI_c,2364.471705163394,114.39731656805337,20.66894378380635,6.594357682180633e-95,2140.257084761982,2588.686325564806
model_10,TABLE 10 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI_c + IR_c + CUR_c + PMI_IR + CUR_IR,IR_c,1015.4581340258992,112.67093495222157,9.012600582896619,2.0122704458923778e-19,794.6271594150897,1236.2891086367085
model_10,TABLE 10 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI_c + IR_c + CUR_c + PMI_IR + CUR_IR,CUR_c,1153.8272213570615,155.23375603592754,7.432837102067014,1.0629277252569727e-13,849.5746503417663,1458.0797923723567
model_10,TABLE 10 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI_c + IR_c + CUR_c + PMI_IR + CUR_IR,PMI_IR,1930.3569436343396,80.58748313962906,23.953557902903196,8.48411138177448e-127,1772.4083790759378,2088.3055081927414
model_10,TABLE 10 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI_c + IR_c + CUR_c + PMI_IR + CUR_IR,CUR_IR,578.2935627976517,125.8493645355395,4.5951250126045995,4.324899003472558e-06,331.633340830742,824.9537847645614
