model_id,prompt,metric,value
model_1,TABLE 1 - consumption ~ HDD + CDD,dependent_variable,consumption
model_1,TABLE 1 - consumption ~ HDD + CDD,plot_year,2023
model_1,TABLE 1 - consumption ~ HDD + CDD,month_dummy_in_model,0
model_1,TABLE 1 - consumption ~ HDD + CDD,n_obs,8760
model_1,TABLE 1 - consumption ~ HDD + CDD,durbin_watson,0.091385415189256
model_1,TABLE 1 - consumption ~ HDD + CDD,raw_condition_number,12.798959464863497
model_1,TABLE 1 - consumption ~ HDD + CDD,scaled_condition_number,1.4593148824607622
model_1,TABLE 1 - consumption ~ HDD + CDD,r_squared,0.25791449397500443
model_1,TABLE 1 - consumption ~ HDD + CDD,adj_r_squared,0.2577450100179358
