model_id,prompt,variable,coefficient,std_error,t_stat,p_value,ci_low,ci_high
model_7,TABLE 7 - log_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,const,10.591817126879072,0.0014064842219711075,7530.70454785141,0.0,10.589060468459184,10.594573785298959
model_7,TABLE 7 - log_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,HDD,0.010521507080668124,0.0012742974979129157,8.256711715985142,1.4974050405818252e-16,0.008023929879169306,0.013019084282166943
model_7,TABLE 7 - log_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,CDD,0.07550991472920987,0.0011881414644513456,63.552966535073736,0.0,0.07318120025034655,0.07783862920807319
model_7,TABLE 7 - log_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,night,-0.19958339936451766,0.0022568094336321482,-88.43608874999458,0.0,-0.20400666457440692,-0.1951601341546284
model_7,TABLE 7 - log_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,weekend,-0.09470634609057882,0.002571714526696686,-36.82615045622002,7.045283125190155e-297,-0.09974681394142279,-0.08966587823973485
model_7,TABLE 7 - log_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,PMI,0.011902223199829476,0.002963938933935276,4.015677605080303,5.927524010636205e-05,0.006093009636940292,0.01771143676271866
model_7,TABLE 7 - log_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,IR,0.028644322163593028,0.002887628233666513,9.919671039932458,3.418810746420376e-23,0.02298467482486565,0.034303969502320404
