model_id,prompt,variable,coefficient,std_error,t_stat,p_value,ci_low,ci_high
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,const,40030.32028537602,137.25972823448055,291.6392214983283,0.0,39761.29616150868,40299.344409243364
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,HDD,-468.047588091958,75.30010020612757,-6.215763150523278,5.107579714114985e-10,-615.6330725282252,-320.46210365569084
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,CDD,920.8702224635214,47.03834573239167,19.57701122617051,2.4285852870773233e-85,828.6767589356904,1013.0636859913524
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,night,-6873.684108993887,80.13391808623372,-85.777461943106,0.0,-7030.743702382988,-6716.624515604786
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,weekend,-3527.0671278743375,83.01538515256296,-42.48690916018048,0.0,-3689.774292936082,-3364.359962812593
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_1,2260.4468855162054,246.03417462229905,9.187532134453862,4.0195698068903713e-20,1778.2287642904607,2742.66500674195
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_2,1676.1401148620996,213.92974782160158,7.835002527371049,4.688332783443819e-15,1256.8455139100245,2095.434715814175
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_3,1795.9968448094148,227.77902946507086,7.884820867958017,3.1498703542815883e-15,1349.5581506243882,2242.4355389944417
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_4,-1024.7499544237392,159.85424518202285,-6.410526997621344,1.4501746985986537e-10,-1338.0585177563394,-711.4413910911389
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_5,-3168.5244630349607,203.08834916944033,-15.601704755556424,7.08759488876084e-55,-3566.5703130867587,-2770.4786129831627
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_6,5.745466754619592,152.18902168297433,0.03775217614965685,0.9698852750688631,-292.53953458639546,304.03046809563466
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_7,329.2928610980031,219.8598092845431,1.4977401379978068,0.13420077911127254,-101.62444674754641,760.2101689435526
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_8,3484.7323089728757,168.02593266589983,20.7392528860522,1.5328788623849333e-95,3155.4075324789596,3814.0570854667917
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_10,-3053.632479071871,149.2506486918977,-20.459760180845645,4.917961544660058e-93,-3346.1583751772305,-2761.1065829665113
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_11,-2295.1404731977655,165.05561363306572,-13.905255463168192,5.885634495625671e-44,-2618.6435313647326,-1971.6374150307984
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_12,-500.3537923413205,188.06763346638888,-2.66049922104615,0.007802490773682338,-868.9595805931225,-131.74800408951853
