model_id,prompt,variable,coefficient,std_error,t_stat,p_value,ci_low,ci_high,year
model_5,TABLE 5 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,weekend,-3642.976551358692,90.26896433550786,-40.35691090703812,0.0,-3819.9004703780183,-3466.052632339366,2022
model_5,TABLE 5 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,PMI,-8.900052636337023,79.98069095150643,-0.1112775162411796,0.9113962841021399,-165.65932635991823,147.85922108724418,2022
model_5,TABLE 5 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,IR,819.504705759713,63.731610543426704,12.858685019442632,7.687329099422218e-38,694.5930444178636,944.4163671015625,2022
model_6,TABLE 6 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR + CUR,const,40032.658368050754,52.748198913642824,758.9388679145343,0.0,39929.27379793066,40136.042938170845,2022
model_6,TABLE 6 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR + CUR,HDD,448.13156155261413,57.29861145902068,7.820984665101576,5.241173007016684e-15,335.8283467287796,560.4347763764487,2022
model_6,TABLE 6 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR + CUR,CDD,1419.4869097233627,43.558353700502714,32.58816711677007,6.033508159355018e-233,1334.1141052445205,1504.859714202205,2022
model_6,TABLE 6 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR + CUR,night,-6971.716129426792,84.60412020640554,-82.4039788182674,0.0,-7137.537157975044,-6805.89510087854,2022
model_6,TABLE 6 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR + CUR,weekend,-3596.8080529520917,88.50281827332739,-40.64060470756876,0.0,-3770.2703892981067,-3423.3457166060766,2022
model_6,TABLE 6 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR + CUR,PMI,-48.4869805215194,80.6525293148735,-0.6011836322233938,0.5477176849683719,-206.56303324073238,109.58907219769358,2022
model_6,TABLE 6 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR + CUR,IR,2280.9650437709242,88.77405851461023,25.694049387136314,1.3623235277272453e-145,2106.971086320837,2454.9590012210115,2022
model_6,TABLE 6 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR + CUR,CUR,-1636.5012486274882,81.47273539381762,-20.086489556501014,9.687388582357772e-90,-1796.1848757213324,-1476.817621533644,2022
model_7,TABLE 7 - log_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,const,10.590704600810241,0.0014556058651791898,7275.805116041141,0.0,10.587851665738805,10.593557535881677,2022
model_7,TABLE 7 - log_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,HDD,0.008170859491710702,0.001649036865166619,4.95492833684171,7.235695219654849e-07,0.004938806626805296,0.01140291235661611,2022
model_7,TABLE 7 - log_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,CDD,0.03903251757467269,0.0010987322631543172,35.52504908030589,2.018004935935152e-276,0.03687904191023804,0.041185993239107335,2022
model_7,TABLE 7 - log_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,night,-0.19381602030981143,0.002585780686723701,-74.95454711411931,0.0,-0.19888405732770914,-0.18874798329191372,2022
model_7,TABLE 7 - log_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,weekend,-0.09767810350016069,0.002589844077603114,-37.715824031600086,0.0,-0.10275410461783716,-0.09260210238248423,2022
model_7,TABLE 7 - log_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,PMI,-0.00022100287853632494,0.0022698986203937037,-0.09736244453859925,0.9224385679088541,-0.00466992242306514,0.00422791666599249,2022
model_7,TABLE 7 - log_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,IR,0.022093336820522502,0.0017748799423898476,12.44779226631756,1.4376712697281372e-35,0.018614636056555875,0.02557203758448913,2022
model_8,TABLE 8 - sqrt_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,const,199.71465217957436,0.13941903884813575,1432.4776144606512,0.0,199.44139588467283,199.9879084744759,2022
model_8,TABLE 8 - sqrt_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,HDD,0.8092984476672278,0.15356407277908976,5.270102785248783,1.363473849840382e-07,0.5083183957009242,1.1102784996335315,2022
model_8,TABLE 8 - sqrt_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,CDD,3.9595250918107503,0.10911492217590898,36.287659037390185,2.532939603724374e-288,3.745663774170078,4.173386409451423,2022
model_8,TABLE 8 - sqrt_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,night,-18.164114557536077,0.23690288906803014,-76.67325049936383,0.0,-18.628435687942904,-17.69979342712925,2022
model_8,TABLE 8 - sqrt_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,weekend,-9.415002014021574,0.24075982118712277,-39.1053705207069,0.0,-9.886882592472638,-8.94312143557051,2022
model_8,TABLE 8 - sqrt_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,PMI,-0.02088344659880903,0.2121009843103358,-0.09845992307255581,0.9215670940373797,-0.43659373693256226,0.3948268437349442,2022
model_8,TABLE 8 - sqrt_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,IR,2.123878148323712,0.16754010833432859,12.676834039557166,7.947770773316971e-37,1.795505570022489,2.4522507266249347,2022
model_1,TABLE 1 - consumption ~ HDD + CDD,const,37023.16549999999,54.57038236208356,678.4479766761598,0.0,36916.209515947725,37130.12148405225,2023
model_1,TABLE 1 - consumption ~ HDD + CDD,HDD,229.29312196290903,58.5501148614396,3.9161856899091876,8.996096795136469e-05,114.53700554380403,344.04923838201404,2023
model_1,TABLE 1 - consumption ~ HDD + CDD,CDD,3085.705435277478,62.94983541219121,49.01848297255251,0.0,2962.3260250368594,3209.0848455180967,2023
model_2,TABLE 2 - consumption ~ HDD + CDD + night dummy,const,39106.556148799355,55.03279628768466,710.604562856834,0.0,38998.69385010696,39214.41844749175,2023
model_2,TABLE 2 - consumption ~ HDD + CDD + night dummy,HDD,199.83396865727354,43.284986137240445,4.616704000405014,3.898827490292267e-06,114.99695475696676,284.6709825575803,2023
