model_id,prompt,variable,coefficient,std_error,t_stat,p_value,ci_low,ci_high
model_10,TABLE 10 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI_c + IR_c + CUR_c + PMI_IR + CUR_IR,const,40132.61415557106,52.128062495855744,769.8850145976874,0.0,40030.44503049533,40234.783280646785
model_10,TABLE 10 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI_c + IR_c + CUR_c + PMI_IR + CUR_IR,HDD,1010.6299592567912,64.37339165400073,15.699498399724007,1.5244262819891909e-55,884.4604300522584,1136.7994884613238
model_10,TABLE 10 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI_c + IR_c + CUR_c + PMI_IR + CUR_IR,CDD,1112.4942932540807,45.727550627138825,24.328753191381892,9.731796997214168e-131,1022.8699409236567,1202.1186455845047
model_10,TABLE 10 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI_c + IR_c + CUR_c + PMI_IR + CUR_IR,night,-7332.5052638929865,82.76668885380411,-88.59246836423335,0.0,-7494.724993166075,-7170.285534619898
model_10,TABLE 10 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI_c + IR_c + CUR_c + PMI_IR + CUR_IR,weekend,-3578.473314903169,86.25759052884474,-41.48589466693391,0.0,-3747.535085732908,-3409.41154407343
model_10,TABLE 10 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI_c + IR_c + CUR_c + PMI_IR + CUR_IR,PMI_c,-9390.743418125901,528.3402236335401,-17.77404596141326,1.1229175031681818e-70,-10426.271228031477,-8355.215608220326
model_10,TABLE 10 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI_c + IR_c + CUR_c + PMI_IR + CUR_IR,IR_c,2180.290204396357,81.24996852030948,26.83435137394995,1.2845130979751128e-158,2021.043192351537,2339.5372164411765
model_10,TABLE 10 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI_c + IR_c + CUR_c + PMI_IR + CUR_IR,CUR_c,-2544.2768040802766,560.2217169820278,-4.54155332961128,5.584125587103196e-06,-3642.291192722242,-1446.2624154383109
model_10,TABLE 10 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI_c + IR_c + CUR_c + PMI_IR + CUR_IR,PMI_IR,-9395.980384428796,510.37917466184314,-18.409803634041687,1.0961930173218381e-75,-10396.305185225287,-8395.655583632306
model_10,TABLE 10 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI_c + IR_c + CUR_c + PMI_IR + CUR_IR,CUR_IR,-425.8247202641869,573.8228933600933,-0.7420838819635024,0.45803651477072715,-1550.496924754538,698.8474842261642
